ID	COUNT	PERCENTAGE
BNI6	1	1.5151515151515151
BNI22	1	1.5151515151515151
BNI33	1	1.5151515151515151
BNI34	1	1.5151515151515151
BNI40	1	1.5151515151515151
BNI48	1	1.5151515151515151
BNI50	1	1.5151515151515151
BNI80	1	1.5151515151515151
BNI81	1	1.5151515151515151
BNI84	1	1.5151515151515151
BNC19	1	1.5151515151515151
BNC20	1	1.5151515151515151
BNC38	1	1.5151515151515151
BNC51	1	1.5151515151515151
BNC58	1	1.5151515151515151
BNC63	1	1.5151515151515151
BNC65	1	1.5151515151515151
BNC85	1	1.5151515151515151
BNC86	1	1.5151515151515151
BNC88	1	1.5151515151515151
INI15	1	1.5151515151515151
INI19	1	1.5151515151515151
INI33	1	1.5151515151515151
INI34	1	1.5151515151515151
INI59	1	1.5151515151515151
INI63	1	1.5151515151515151
INI68	1	1.5151515151515151
INI71	1	1.5151515151515151
INI81	1	1.5151515151515151
INI90	2	3.0303030303030303
INC2	1	1.5151515151515151
INC13	1	1.5151515151515151
INC20	1	1.5151515151515151
INC21	2	3.0303030303030303
INC31	1	1.5151515151515151
INC50	1	1.5151515151515151
INC51	1	1.5151515151515151
INC66	1	1.5151515151515151
INC84	1	1.5151515151515151
SNI2	1	1.5151515151515151
SNI7	1	1.5151515151515151
SNI18	1	1.5151515151515151
SNI26	1	1.5151515151515151
SNI29	1	1.5151515151515151
SNI33	1	1.5151515151515151
SNI35	1	1.5151515151515151
SNI41	1	1.5151515151515151
SNI54	1	1.5151515151515151
SNI61	1	1.5151515151515151
SNI63	1	1.5151515151515151
SNI68	1	1.5151515151515151
SNI73	1	1.5151515151515151
SNI79	1	1.5151515151515151
SNI80	1	1.5151515151515151
SNI85	1	1.5151515151515151
SNC1	1	1.5151515151515151
SNC14	2	3.0303030303030303
SNC22	1	1.5151515151515151
SNC35	1	1.5151515151515151
SNC51	1	1.5151515151515151
SNC68	1	1.5151515151515151
SNC80	1	1.5151515151515151
SNC81	1	1.5151515151515151
Total	66	100.0
