Matrix	Count	Percentage
aceptar	3	0.5555555555555556
admitir	3	0.5555555555555556
aducir	3	0.5555555555555556
advertir	6	1.1111111111111112
afirmar	6	1.1111111111111112
anunciar	36	6.666666666666667
comprender	3	0.5555555555555556
comunicar	9	1.6666666666666667
concluir	3	0.5555555555555556
confirmar	3	0.5555555555555556
considerar	45	8.333333333333334
creer	48	8.88888888888889
decir	36	6.666666666666667
declarar	9	1.6666666666666667
demostrar	27	5.0
descubrir	3	0.5555555555555556
determinar	3	0.5555555555555556
discutir	3	0.5555555555555556
distinguir	3	0.5555555555555556
dudar	12	2.2222222222222223
entender	15	2.7777777777777777
ignorar	6	1.1111111111111112
intuir	9	1.6666666666666667
mencionar	12	2.2222222222222223
negar	21	3.888888888888889
ocultar	6	1.1111111111111112
olvidar	24	4.444444444444445
oír	9	1.6666666666666667
pensar	18	3.3333333333333335
pretender	3	0.5555555555555556
prever	3	0.5555555555555556
probar	3	0.5555555555555556
reconocer	3	0.5555555555555556
saber	102	18.88888888888889
sentir	3	0.5555555555555556
sospechar	30	5.555555555555555
sostener	3	0.5555555555555556
suponer	3	0.5555555555555556
ver	3	0.5555555555555556
