ID	PREMISE
1	El hijo oyó que le estaban llamando.
2	El presidente dijo que el país tenía problemas económicos.
3	El experto creía que la tendencia había cambiado.
4	La periodista sabía que la noticia era falsa. 
5	El jugador anunció que iba a cambiar de equipo.
6	El entrenador sospechaba que el equipo contrario había comprado al árbrito.
7	La escritora intuía que su nueva novela iba a tener éxito.
8	El general creyó los ataques habían cesado.
9	El cantante sabía que la canción iba a ser todo un éxito

